title,year,rating,movie_poster_str,movie_summary,user_rating_count,user_review_count,critic_review_count,movie_mpaa_rating,movie_runtime,movie_genres,movie_release_date,box_office_gross_domestic,box_office_gross_intl,url
Sam gang 2,2004,7.0,"https://m.media-amazon.com/images/M/MV5BNzM5MTM2OTgzOF5BMl5BanBnXkFtZTcwNzc4NTUzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",An Asian cross-cultural trilogy of horror films from accomplished indie directors.,17918,80,128,R,118,Horror,20 August 2004 (South Korea),--,--,https://www.imdb.com/title/tt0420251/
Scanners,1981,6.8,"https://m.media-amazon.com/images/M/MV5BMjQwNDE0MDM0NV5BMl5BanBnXkFtZTgwOTU0ODgwNzE@._V1_UX182_CR0,0,182,268_AL_.jpg",A scientist sends a man with extraordinary psychic powers to hunt others like him.,44158,185,130,R,103,"Horror, Sci-Fi, Thriller",14 January 1981 (USA),--,--,https://www.imdb.com/title/tt0081455/
Scary Movie,2000,6.2,"https://m.media-amazon.com/images/M/MV5BMGEzZjdjMGQtZmYzZC00N2I4LThiY2QtNWY5ZmQ3M2ExZmM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",219229,903,104,R,88,Comedy,7 July 2000 (USA),157019771,278019771,https://www.imdb.com/title/tt0175142/
Scary Stories to Tell in the Dark,2019,6.2,"https://m.media-amazon.com/images/M/MV5BNjNiM2E3NDItNGU5NS00N2UwLTk2YWItZWRmMGFlNjJhYzE3XkEyXkFqcGdeQXVyOTQ5MTIwMjM@._V1_UY268_CR4,0,182,268_AL_.jpg","On Halloween 1968, reclusive Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories.",29677,460,228,PG-13,108,"Horror, Mystery, Thriller",9 August 2019 (USA),68947075,95677760,https://www.imdb.com/title/tt3387520/
Scooby-Doo on Zombie Island,1998,7.7,"https://m.media-amazon.com/images/M/MV5BNzA1ZmMyYjUtMjMzOS00NGRmLTkzMzQtZmVmN2ExMWI1NjJiXkEyXkFqcGdeQXVyNjg1MDQzMzc@._V1_UY268_CR7,0,182,268_AL_.jpg","The Mystery Gang reunite and visit Moonscar Island, a remote island with a dark secret. Daphne wants more than just a villain in a costume, and they get more than they ever expected.",9996,67,13,TV-G,77,"Animation, Adventure, Comedy",22 September 1998,--,--,https://www.imdb.com/title/tt0166792/
Scream,1996,7.2,"https://m.media-amazon.com/images/M/MV5BMjA2NjU5MTg5OF5BMl5BanBnXkFtZTgwOTkyMzQxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",267869,937,254,R,111,"Horror, Mystery",20 December 1996 (USA),103046663,173046663,https://www.imdb.com/title/tt0117571/
Scream 2,1997,6.2,"https://m.media-amazon.com/images/M/MV5BMDNlM2E2OTUtZTRhZi00ZDU1LWIxODAtN2E5OGZiNmIwMDIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","Two years after the first series of murders, as Sydney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",147805,506,205,R,120,"Horror, Mystery",12 December 1997 (USA),101363301,172363301,https://www.imdb.com/title/tt0120082/
Scream 4,2011,6.1,"https://m.media-amazon.com/images/M/MV5BMTk5OTcxNTUyNF5BMl5BanBnXkFtZTcwMDczMzE0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg","Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",120950,542,428,R,111,"Horror, Mystery",15 April 2011 (USA),38180928,97231420,https://www.imdb.com/title/tt1262416/
Secret Obsession,2019,4.3,"https://m.media-amazon.com/images/M/MV5BMjRjNmUyMjEtZjllNS00YWU5LTlkZjgtNWE2MzNhMzIwNTljXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember.",14059,668,30,TV-14,97,"Drama, Mystery, Thriller",18 July 2019 (USA),--,--,https://www.imdb.com/title/tt9419834/
Shadow of the Vampire,2000,6.9,"https://m.media-amazon.com/images/M/MV5BMGYxZDEzMDMtMDIzNy00OTQ5LTkzYmItYzdkYTgxMGRkOWVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,38524,333,208,R,92,"Drama, Horror",26 January 2001 (USA),11155214,--,https://www.imdb.com/title/tt0189998/
Shaun of the Dead,2004,7.9,"https://m.media-amazon.com/images/M/MV5BMTg5Mjk2NDMtZTk0Ny00YTQ0LWIzYWEtMWI5MGQ0Mjg1OTNkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",A man's uneventful life is disrupted by the zombie apocalypse.,480425,928,262,R,99,"Comedy, Horror",24 September 2004 (USA),13542874,30039392,https://www.imdb.com/title/tt0365748/
Sisters,1972,6.9,"https://m.media-amazon.com/images/M/MV5BMDljZDliM2YtMjNlMS00ZjY2LWFjNjctMDU5ZmU0NjhhZjk0XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL_.jpg","A fledgling Staten Island journalist witnesses a brutal murder in the neighboring apartment of a French-Canadian model, but the police do not believe that the crime took place. With the help of a private detective, she seeks out the truth.",13821,128,143,R,93,"Horror, Mystery, Thriller",26 March 1973 (USA),--,--,https://www.imdb.com/title/tt0070698/
Sleepy Hollow,1999,7.3,"https://m.media-amazon.com/images/M/MV5BMTQ4Yjk5ODEtNGFkOS00OTY1LTgwYTYtOTFkNmU2NzBmNGM2XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UX182_CR0,0,182,268_AL_.jpg","Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman.",311512,1014,260,R,105,"Fantasy, Horror, Mystery",19 November 1999 (USA),206071502,--,https://www.imdb.com/title/tt0162661/
Slither,2006,6.4,"https://m.media-amazon.com/images/M/MV5BMjEyNTE0NDI2OF5BMl5BanBnXkFtZTcwODcwODMzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",70683,370,267,R,95,"Comedy, Horror, Sci-Fi",31 March 2006 (USA),7802450,12834936,https://www.imdb.com/title/tt0439815/
Something Wicked This Way Comes,1983,6.8,"https://m.media-amazon.com/images/M/MV5BZjAwNWM2ZjItMTgwYi00YjMzLTkyZjEtYTU2YjFiODkzMjA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","In a small American town, a diabolical circus and its demonic proprietor prey on the townsfolk.",7803,81,58,PG,95,"Fantasy, Mystery, Thriller",29 April 1983 (USA),8400000,8400000,https://www.imdb.com/title/tt0086336/
Southbound,2015,5.9,"https://m.media-amazon.com/images/M/MV5BMTU1NDg3NjE5MF5BMl5BanBnXkFtZTgwNzQxNjA3NzE@._V1_UX182_CR0,0,182,268_AL_.jpg",Five interlocking tales of terror follow the fates of a group of weary travellers who confront their worst nightmares - and darkest secrets - over one long night on a desolate stretch of desert highway.,14902,86,154,R,89,"Fantasy, Horror, Thriller",9 February 2016 (USA),35275,--,https://www.imdb.com/title/tt4935334/
Suspiria,1977,7.4,"https://m.media-amazon.com/images/M/MV5BMjRiYTNjODctNGU1Ni00NDg3LTk0NGUtMWU0NjgyZTAyYmNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.,71274,585,259,R,99,Horror,12 August 1977 (USA),--,--,https://www.imdb.com/title/tt0076786/
Teeth,2007,5.4,"https://m.media-amazon.com/images/M/MV5BZjVjMjY4MzMtYzljNi00NDQ5LTk3NTYtNzY5NzYyY2FjZTZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence.",39747,176,225,R,94,"Comedy, Fantasy, Horror",3 April 2008 (Singapore),2340110,--,https://www.imdb.com/title/tt0780622/
The Abominable Dr. Phibes,1971,7.1,"https://m.media-amazon.com/images/M/MV5BMWIwYjc5ZjEtZGI0Mi00ODVjLWFhODAtOWU3N2Q5NmNlZDFjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","A doctor, scientist, organist, and biblical scholar, Anton Phibes, seeks revenge on the nine doctors he considers responsible for his wife's death.",12536,131,105,PG-13,94,"Comedy, Horror",18 May 1971 (USA),--,--,https://www.imdb.com/title/tt0066740/
The Addams Family,1991,6.9,"https://m.media-amazon.com/images/M/MV5BODc1NmY0MDUtNjUzNS00ODdhLWJlN2ItMTgwZjczZjI0MDkyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR11,0,182,268_AL_.jpg",Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,119819,149,71,PG-13,99,"Comedy, Fantasy",22 November 1991 (USA),113502426,191502426,https://www.imdb.com/title/tt0101272/
The Babadook,2014,6.8,"https://m.media-amazon.com/images/M/MV5BMTk0NzMzODc2NF5BMl5BanBnXkFtZTgwOTYzNTM1MzE@._V1_UX182_CR0,0,182,268_AL_.jpg","A single mother and her child fall into a deep well of paranoia when an eerie children's book titled ""Mister Babadook"" manifests in their home.",178540,800,503,Not Rated,94,"Drama, Horror",28 November 2014 (USA),964413,10312540,https://www.imdb.com/title/tt2321549/
The Bird with the Crystal Plumage,1970,7.2,"https://m.media-amazon.com/images/M/MV5BNzU1ZTQwY2EtZDc5YS00ZmMxLWE2MGItZjA2ZTc0OTFjYWY1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY268_CR5,0,182,268_AL_.jpg","An American expatriate in Rome witnesses an attempted murder. He learns later that it's connected to an ongoing murder spree in the city, and decides to do his own investigation, despite being personally targeted by the killer.",16128,107,125,GP,96,"Horror, Mystery, Thriller",12 June 1970 (USA),--,--,https://www.imdb.com/title/tt0065143/
The Birds,1963,7.7,"https://m.media-amazon.com/images/M/MV5BMTAxNDA1ODc5MDleQTJeQWpwZ15BbWU4MDg2MDA4OTEx._V1_UX182_CR0,0,182,268_AL_.jpg",A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,158619,523,148,PG-13,119,"Drama, Horror, Mystery",29 March 1963 (USA),--,--,https://www.imdb.com/title/tt0056869/
The Black Cauldron,1985,6.4,"https://m.media-amazon.com/images/M/MV5BYjU4MDNmMTYtYzUyNS00ZmRmLWFiYTMtNzdiYjE0NTdlZDI0XkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX182_CR0,0,182,268_AL_.jpg",A young boy and a bunch of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.,28134,129,66,PG,80,"Animation, Action, Adventure",24 July 1985 (USA),21288692,21288692,https://www.imdb.com/title/tt0088814/
The Blair Witch Project,1999,6.5,"https://m.media-amazon.com/images/M/MV5BNzQ1NDBlNDItMDAyYS00YTI2LTgwMmYtMzAwMzg4NDFlM2ZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",220473,3492,405,R,81,"Horror, Mystery",30 July 1999 (USA),140539099,248639099,https://www.imdb.com/title/tt0185937/
The Brood,1979,6.8,"https://m.media-amazon.com/images/M/MV5BMzY0YzY5N2MtZTI2MS00N2E0LWJiYzQtMWU4ZWFkN2MzNjlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, amidst a series of brutal murders.",23182,139,128,R,92,"Horror, Sci-Fi",25 May 1979 (USA),--,--,https://www.imdb.com/title/tt0078908/
The Cabin in the Woods,2011,7.0,"https://m.media-amazon.com/images/M/MV5BNTUxNzYyMjg2N15BMl5BanBnXkFtZTcwMTExNzExNw@@._V1_UX182_CR0,0,182,268_AL_.jpg","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",347144,1116,669,R,95,Horror,13 April 2012 (USA),42073277,94348403,https://www.imdb.com/title/tt1259521/
