title,year,rating,movie_poster_str,movie_summary,user_rating_count,user_review_count,critic_review_count,movie_mpaa_rating,movie_runtime,movie_genres,movie_release_date,box_office_gross_domestic,box_office_gross_intl,url
Bright,2017,6.4,"https://m.media-amazon.com/images/M/MV5BMTcyNzk5NDg1Nl5BMl5BanBnXkFtZTgwNTM5MDQxNDM@._V1_UX182_CR0,0,182,268_AL_.jpg",A detective must work with an Orc to find a powerful wand before evil creatures do.,153529,897,158,TV-MA,117,"Action, Adventure, Crime",22 December 2017 (USA),--,--,https://www.imdb.com/title/tt5519340/
Ferris Bueller's Day Off,1986,7.8,"https://m.media-amazon.com/images/M/MV5BMDA0NjZhZWUtNmI2NC00MmFjLTgwZDYtYzVjZmNhMDVmOTBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",295833,542,144,PG-13,103,Comedy,11 June 1986 (USA),70136369,70136369,https://www.imdb.com/title/tt0091042/
Hocus Pocus,1993,6.8,"https://m.media-amazon.com/images/M/MV5BMmQyYmY5ZTMtM2JkNi00NmM2LWE3ZmEtYWYzZmRkZDM0ZTdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.",87161,184,55,PG,96,"Comedy, Family, Fantasy",16 July 1993 (USA),39514713,39514713,https://www.imdb.com/title/tt0107120/
The Matrix,1999,8.7,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,1551652,4066,337,R,136,"Action, Sci-Fi",31 March 1999 (USA),171479930,465327069,https://www.imdb.com/title/tt0133093/
